::1 - - [20/Dec/2023:11:14:02 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:04 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:06 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:08 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:10 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:12 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:23 +0000] "GET /graphql HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:25 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:26 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:28 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:30 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:35 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:44 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:46 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:48 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:51 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:53 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:55 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:55 +0000] "GET /graphql HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:56 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:03:58 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:12:05:59 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [21/Dec/2023:09:21:21 +0000] "POST /api/bookings/book/makalu-yatayat-2-003 HTTP/1.1" 400 56 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:09:22:20 +0000] "POST /api/bookings/book/makalu-yatayat-2-003 HTTP/1.1" 201 270 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:09:22:46 +0000] "POST /api/bookings/book/makalu-yatayat-2-003 HTTP/1.1" 400 56 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:33:28 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:35:12 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:35:42 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:35:59 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:37:19 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:39:26 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 64 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:40:02 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 64 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:41:21 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 64 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:41:43 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 64 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:44:00 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
::1 - - [21/Dec/2023:11:44:22 +0000] "POST /api/payment/verify-payment HTTP/1.1" 400 39 "-" "PostmanRuntime/7.36.0"
